"StationID","AudioMothID","Bearing","X","Y","elevation","slope","aspect","tree_cover","land_type","tree_height","Protected_area","Forest_500m_region","Distance_from_edge"
"D9",17,240,657452.027466406,2534968.29878061,716,18.5803127288818,210.379126011369,85,1,18,"Vietnam","Centre",699.302364849285
"D9",2,30,657452.027466406,2534968.29878061,716,18.5803127288818,210.379126011369,85,1,18,"Vietnam","Centre",699.302364849285
"D10",18,200,657431.74482131,2535433.4491028,686,20.2019691467285,222.797401838234,83,1,16,"Vietnam","Border",445.187657877363
"D8",15,0,657358.199168933,2534680.42329269,804,19.0474128723145,10.0079798014419,85,1,13,"Vietnam","Centre",939.758314499547
"D8",16,180,657358.199168933,2534680.42329269,804,19.0474128723145,10.0079798014419,85,1,13,"Vietnam","Centre",939.758314499547
"D4",7,0,657071.641155853,2535120.76342246,766,31.3523578643799,156.801409486351,66,1,10,"Vietnam","Centre",903.420288680728
"D4",8,180,657071.641155853,2535120.76342246,766,31.3523578643799,156.801409486351,66,1,10,"Vietnam","Centre",903.420288680728
"D7",13,0,657090.420806883,2534580.34657216,790,10.6849336624146,122.005383208084,71,1,12,"Vietnam","Centre",1136.69686611905
"D7",14,180,657090.420806883,2534580.34657216,790,10.6849336624146,122.005383208084,71,1,12,"Vietnam","Centre",1136.69686611905
"D6",6,0,656826.472427396,2534433.44423803,845,21.0421180725098,152.102728969052,75,1,17,"Vietnam","Centre",1327.40743882556
"D5",9,0,656603.260732974,2534360.81543659,814,10.5372037887573,233.746162262556,54,1,15,"Vietnam","Centre",1526.62071510419
"D5",10,180,656603.260732974,2534360.81543659,814,10.5372037887573,233.746162262556,54,1,15,"Vietnam","Centre",1526.62071510419
"D3",11,0,656288.523592427,2534272.5333565,770,18.8833885192871,105.255118703058,72,1,16,"Vietnam","Centre",1476.47277317957
"D3",12,180,656288.523592427,2534272.5333565,770,18.8833885192871,105.255118703058,72,1,16,"Vietnam","Centre",1476.47277317957
"D2",5,0,656789.072270289,2534940.83143584,822,12.9645891189575,2.48955292199954,93,1,16,"Vietnam","Centre",1236.94160236669
"D2",4,180,656789.072270289,2534940.83143584,822,12.9645891189575,2.48955292199954,93,1,16,"Vietnam","Centre",1236.94160236669
"D1",1,0,656462.826056038,2534873.21268715,797,32.3696708679199,186.34019174591,58,1,16,"Vietnam","Centre",1529.50283865557
"D1",3,180,656462.826056038,2534873.21268715,797,32.3696708679199,186.34019174591,58,1,16,"Vietnam","Centre",1529.50283865557
