"StationID","Folder.name","X","Y","elevation","slope","aspect","tree_cover","land_type","tree_height","Protected_area","Forest_500m_region","Distance_from_edge"
"A2","02",653662.898773849,2535980.22555248,791,8.54942321777344,176.18592516571,85,1,19,"China","Centre",1314.49970700363
"A9","03",653530.402402774,2537820.31779924,832,34.1926422119141,312.614055969612,82,1,19,"China","Centre",1036.1858505579
"A1","04",653533.887657983,2535514.14992584,848,8.04946708679199,8.13010235415597,74,1,19,"China","Centre",878.086435614963
"A7","05",654087.266910984,2537162.35445695,895,14.8800487518311,70.2011236454749,81,1,13,"China","Centre",1019.07563238327
"A4","06",653323.997688362,2536797.11282071,849,16.6992435455322,0,54,1,16,"China","Centre",1741.83251784961
"A10","07",653245.20726746,2537333.60589517,713,3.61888313293457,71.5650511770785,90,1,16,"China","Centre",1419.16201217079
"A6","08",654096.643667141,2537800.07469498,743,33.1811256408691,203.428692808745,90,1,18,"China","Centre",1197.3205736942
"A3","09",652489.962411621,2536448.02844334,873,11.1152610778809,75.2564371635288,54,1,15,"China","Centre",914.90031418503
"A8","10",654306.825425085,2538237.42319509,794,21.6150665283203,280.175510843044,64,1,18,"China","Centre",713.13485003377
"A5","11",653061.037399837,2536340.19948302,866,43.9299125671387,355.236358309274,81,1,14,"China","Centre",1260.80432416549
"AU01","AU01",657376.275177499,2533243.6374079,734,12.0796165466309,217.405356631408,74,1,21,"Vietnam","Centre",1076.26622013556
"AU02","AU02",656517.743545662,2534276.35102626,785,32.0572166442871,250.407718108949,79,1,20,"Vietnam","Centre",1596.71331568684
"AU03","AU03",656315.337143725,2534966.54938347,755,13.2447509765625,347.735226272108,64,1,17,"Vietnam","Centre",1525.02525687148
"AU04","AU04",655421.375118225,2534531.52825055,796,29.4962062835693,351.869897645844,83,1,16,"Vietnam","Centre",1147.19620788288
"AU05","AU05",657227.28808574,2533834.49834183,777,6.14724826812744,68.1985905136482,59,1,15,"Vietnam","Centre",896.459595895668
"AU06","AU06",656290.434588327,2533128.04438519,824,21.652515411377,310.914383220026,54,1,17,"Vietnam","Centre",697.704736157256
"AU07","AU07",657763.793142831,2532922.07460526,782,22.4068698883057,230.90614111377,75,1,18,"Vietnam","Centre",1092.50391203668
"AU08","AU08",656859.889645696,2532892.17167318,800,39.6947174072266,0.690277197865064,85,1,18,"Vietnam","Centre",837.092367176161
"AU09","AU09",656013.171765215,2533450.92993504,814,7.20912027359009,108.434948822921,78,1,17,"Vietnam","Centre",742.616386884152
"AU10","AU10",655586.536283584,2533735.3670754,840,16.6817111968994,154.290046219188,81,1,19,"Vietnam","Centre",604.285480572299
"AU11","AU11",654427.584220046,2534891.55573313,835,13.4957332611084,270,79,1,19,"Vietnam","Centre",934.234474815787
"AU12","AU12",654672.066342451,2535358.78681244,759,41.9519996643066,110.854458039578,68,1,21,"Vietnam","Centre",1436.57567075005
"AU13","AU13",654526.360869215,2535780.30917044,865,12.1561450958252,111.801409486352,75,1,18,"Vietnam","Centre",1198.89648258962
"AU14","AU14",654749.205804787,2535805.29521701,802,20.4737777709961,352.303948277983,74,1,15,"Vietnam","Centre",1027.13499241275
"AU15","AU15",655488.257733672,2535324.72853472,819,11.9767255783081,188.130102354157,66,1,15,"Vietnam","Centre",1258.86196528003
"AU16","AU16",655056.32464865,2534883.05474892,772,2.56063866615295,333.434948822919,85,1,21,"Vietnam","Centre",1194.70001223023
"AU17","AU17",654580.065316987,2534509.96718745,799,4.04469156265259,135.000000000001,85,1,20,"Vietnam","Centre",638.48527421092
"AU18","AU18",657196.311249018,2534608.78977934,804,26.7292366027832,186.842773412632,66,1,21,"Vietnam","Centre",1049.39564406297
"AU19","AU19",658397.002006045,2532708.517899,794,13.0587387084961,187.431407971173,68,1,12,"Vietnam","Centre",630.827510597189
"AU20","AU20",657375.040426453,2532487.06220267,757,19.980920791626,31.5042667192043,51,1,16,"Vietnam","Centre",689.044000567766
"AU21","AU21",657984.860964743,2533660.05877404,755,11.1991491317749,315,83,1,18,"Vietnam","Border",382.061027420301
"AU22","AU22",657816.269198484,2534608.43210852,767,13.1753482818604,19.9831065219001,64,1,13,"Vietnam","Centre",544.294762270992
"AU23","AU23",656144.866255758,2535744.19416056,808,26.3249473571777,284.036243467926,64,1,17,"Vietnam","Centre",731.314931369922
"AU24","AU24",655824.589512658,2535916.21650866,848,14.9403285980225,192.994616791917,79,1,13,"Vietnam","Centre",596.143419842234
"AU25","AU25",655069.627366245,2536615.49327024,841,27.4744300842285,180,60,1,18,"Vietnam","Border",231.251968198368
"AU26","AU26",657399.409354525,2535446.42861489,696,16.2539176940918,149.036243467926,59,1,11,"Vietnam","Border",467.737600542734
"AU27","AU27",657062.225458693,2535121.95733905,768,30.5801773071289,156.037511025422,74,1,11,"Vietnam","Centre",911.356722541954
"AU28","AU28",655759.883262152,2534765.35274452,777,35.8843803405762,229.484606009545,85,1,18,"Vietnam","Centre",1532.33572509254
"AU29","AU29",657990.639320394,2532355.98891708,575,8.39893913269043,118.300755766006,99,1,20,"Vietnam","Centre",784.111758069119
"AU30","AU30",656889.038306886,2533411.09724042,669,40.1656341552734,13.7069610040798,78,1,18,"Vietnam","Centre",1307.97956303475
"AU31","AU31",656145.892901379,2534009.49703365,692,17.8740081787109,262.874983651098,85,1,16,"Vietnam","Centre",1195.7991527165
"AU32","AU32",655369.851910104,2534105.58169622,679,8.98487758636475,34.6951535312347,75,1,17,"Vietnam","Centre",777.534853773755
"AU33","AU33",656120.083263088,2534454.9493311,650,22.4068717956543,157.166345822083,90,1,16,"Vietnam","Centre",1499.992352205
"AU34","AU34",657474.506773605,2534311.95847497,695,20.7804183959961,71.565051177078,92,1,17,"Vietnam","Centre",674.93047482106
"AU35","AU35",656736.18871091,2534694.07039387,633,34.8097190856934,220.333141628561,82,1,19,"Vietnam","Centre",1412.43267248474
"AU36","AU36",657703.914472093,2535003.33244933,611,26.7836036682129,236.30993247402,82,1,17,"Vietnam","Centre",546.195936981735
"AU37","AU37",656217.292045422,2535383.84649614,669,17.5484008789062,55.304846468766,75,1,16,"Vietnam","Centre",1097.77050876631
"AU38","AU38",656467.592270984,2536111.313512,554,9.66440963745117,139.763641690726,0,1,9,"Vietnam","Centre",537.091231413558
"AU39","AU39",654197.183286892,2535570.96930455,706,25.7184314727783,228.36646066343,78,1,16,"Vietnam","Centre",1267.08530221815
"AU40","AU40",654636.019155024,2536073.22562534,617,27.4397029876709,105.642246457209,100,1,19,"Vietnam","Centre",914.979339422216
"AU41","AU41 file failed",654799.043615322,2537078.73239608,526,16.5583381652832,19.6538240580535,6,1,6,"Vietnam","Border",322.334289528037
