        label     recall  precision   f1_score        model
0  background  89.855072  95.805740  92.735043  densenet121
1          gc   0.000000   0.000000        NaN  densenet121
2          mm  81.460674  72.500000  76.719577  densenet121
3          sc  72.848948  89.647059  80.379747  densenet121
0  background  86.956522  97.447796   91.90372  efficientnetb0
1          gc  12.121212  80.000000  21.052632  efficientnetb0
2          mm  71.910112  88.888889  79.503106  efficientnetb0
3          sc  77.055449  92.431193  84.045881  efficientnetb0
0  background  90.269151  93.162393  91.692955  efficientnetb4
1          gc  27.272727  64.285714  38.297872  efficientnetb4
2          mm  77.528090  89.610390   83.13253  efficientnetb4
3          sc  65.774379  94.246575  77.477477  efficientnetb4
0  background  92.132505  92.515593  92.323651  resnet18
1          gc   9.090909  50.000000  15.384615  resnet18
2          mm  73.595506  85.620915  79.154079  resnet18
3          sc  65.009560  92.391304  76.318743  resnet18
0  background  90.476190  96.255507  93.276414  resnet50
1          gc  12.121212  57.142857       20.0  resnet50
2          mm  74.719101  82.608696  78.466077  resnet50
3          sc  74.569790  90.069284  81.589958  resnet50
0  background  91.097308   96.491228   93.71672  resnet152
1          gc  12.121212  100.000000  21.621622  resnet152
2          mm  85.955056   75.742574  80.526316  resnet152
3          sc  76.481836   91.116173  83.160083  resnet152
0  background  91.925466  96.732026  94.267516  vgg11
1          gc  33.333333  73.333333  45.833333  vgg11
2          mm  74.719101  92.361111  82.608696  vgg11
3          sc  89.483748  90.173410  89.827255  vgg11
