"Clip_Number","Clip_Path","Location","Group_Name","Group_ID","Long_Path"
1,"label_groups/background/1_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/1_bird_D1.WAV"
2,"label_groups/mm/2_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/2_mm_D1.WAV"
3,"label_groups/background/3_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/3_bird_D1.WAV"
4,"label_groups/mm/4_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/4_mm_D1.WAV"
5,"label_groups/background/5_other_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/5_other_D1.WAV"
6,"label_groups/sc/6_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/6_sc_D1.WAV"
7,"label_groups/mm/7_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/7_mm_D1.WAV"
8,"label_groups/sc/8_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/8_sc_D1.WAV"
9,"label_groups/sc/9_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/9_sc_D1.WAV"
10,"label_groups/mm/10_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/10_mm_D1.WAV"
11,"label_groups/background/11_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/11_bird_D1.WAV"
12,"label_groups/sc/12_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/12_sc_D1.WAV"
13,"label_groups/mm/13_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/13_mm_D1.WAV"
14,"label_groups/background/14_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/14_bird_D1.WAV"
15,"label_groups/sc/15_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/15_sc_D1.WAV"
16,"label_groups/background/16_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/16_bird_D1.WAV"
17,"label_groups/background/17_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/17_bird_D1.WAV"
18,"label_groups/mm/18_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/18_mm_D1.WAV"
