"AudioMoth","Sampling_Hours","background_counts","gc_counts","mm_counts","sc_counts","StationID","Folder.name","elevation","slope","aspect","tree_cover","land_type","tree_height","Protected_area","Forest_500m_region","Distance_from_edge","mm_count_30m","sc_count_30m","mm_sc_count_30m","geometry"
"02",244.988888888889,169852,26,1239,2325,"A2","02",791,8.54942321777344,176.18592516571,85,1,19,"China","Centre",1314.49970700363,2.52868610821352,4.74511315705927,7.2737992652728,c(653662.898773849, 2535980.22555248)
"03",247.1375,161713,1,751,1834,"A9","03",832,34.1926422119141,312.614055969612,82,1,19,"China","Centre",1036.1858505579,1.51939709675788,3.71048505386677,5.22988215062465,c(653530.402402774, 2537820.31779924)
"04",248.131944444444,171532,2,1194,2300,"A1","04",848,8.04946708679199,8.13010235415597,74,1,19,"China","Centre",878.086435614963,2.40597800229493,4.63463099269543,7.04060899499036,c(653533.887657983, 2535514.14992584)
"05",238.645833333333,162162,5,1332,2710,"A7","05",895,14.8800487518311,70.2011236454749,81,1,13,"China","Centre",1019.07563238327,2.79074639895243,5.6778699257966,8.46861632474903,c(654087.266910984, 2537162.35445695)
"06",248.85,167238,3,680,2527,"A4","06",849,16.6992435455322,0,54,1,16,"China","Centre",1741.83251784961,1.36628491058871,5.07735583684951,6.44364074743822,c(653323.997688362, 2536797.11282071)
"07",204.284722222222,141539,6,3539,305,"A10","07",713,3.61888313293457,71.5650511770785,90,1,16,"China","Centre",1419.16201217079,8.6619301764286,0.746507121732332,9.40843729816094,c(653245.20726746, 2537333.60589517)
"08",248.3625,152014,0,712,505,"A6","08",743,33.1811256408691,203.428692808745,90,1,18,"China","Centre",1197.3205736942,1.43338869595853,1.01665911721778,2.4500478131763,c(654096.643667141, 2537800.07469498)
"09",250.133333333333,175871,2,735,1509,"A3","09",873,11.1152610778809,75.2564371635288,54,1,15,"China","Centre",914.90031418503,1.46921641791045,3.01639125799574,4.48560767590619,c(652489.962411621, 2536448.02844334)
"10",219.306944444444,81171,3702,40,63,"A8","10",794,21.6150665283203,280.175510843044,64,1,18,"China","Centre",713.13485003377,0.0911963825434926,0.143634302506001,0.234830685049494,c(654306.825425085, 2538237.42319509)
"11",247.633333333333,170216,708,560,3914,"A5","11",866,43.9299125671387,355.236358309274,81,1,14,"China","Centre",1260.80432416549,1.13070399784628,7.90281329923275,9.03351729707903,c(653061.037399837, 2536340.19948302)
"AU01",254.433333333333,173563,26,1271,4024,"AU01","AU01",734,12.0796165466309,217.405356631408,74,1,21,"Vietnam","Centre",1076.26622013556,2.49770732346391,7.90776889820517,10.4054762216691,c(657376.275177499, 2533243.6374079)
"AU02",615.804166666667,414094,1192,3403,12267,"AU02","AU02",785,32.0572166442871,250.407718108949,79,1,20,"Vietnam","Centre",1596.71331568684,2.76305373055557,9.96014696230538,12.723200692861,c(656517.743545662, 2534276.35102626)
"AU03",592.731944444444,413296,1427,770,3555,"AU03","AU03",755,13.2447509765625,347.735226272108,64,1,17,"Vietnam","Centre",1525.02525687148,0.649534757842102,2.99882605730996,3.64836081515206,c(656315.337143725, 2534966.54938347)
"AU04",470.127777777778,303599,210,2123,9800,"AU04","AU04",796,29.4962062835693,351.869897645844,83,1,16,"Vietnam","Centre",1147.19620788288,2.25789678928896,10.4226983207875,12.6805951100764,c(655421.375118225, 2534531.52825055)
"AU05",602.152777777778,412760,281,3520,9032,"AU05","AU05",777,6.14724826812744,68.1985905136482,59,1,15,"Vietnam","Centre",896.459595895668,2.9228462691731,7.49975781340099,10.4226040825741,c(657227.28808574, 2533834.49834183)
"AU06",595.152777777778,412270,14,786,7120,"AU06","AU06",824,21.652515411377,310.914383220026,54,1,17,"Vietnam","Centre",697.704736157256,0.660334647966208,5.98165737088982,6.64199201885603,c(656290.434588327, 2533128.04438519)
"AU07",565.416666666667,376874,81,3665,11313,"AU07","AU07",782,22.4068698883057,230.90614111377,75,1,18,"Vietnam","Centre",1092.50391203668,3.240972733972,10.0041267501842,13.2450994841562,c(657763.793142831, 2532922.07460526)
"AU08",535.584722222222,358240,173,3192,8352,"AU08","AU08",800,39.6947174072266,0.690277197865064,85,1,18,"Vietnam","Centre",837.092367176161,2.97992069933951,7.79708573962518,10.7770064389647,c(656859.889645696, 2532892.17167318)
