"AudioMoth","Sampling_Hours","background_counts","gc_counts","mm_counts","sc_counts"
"02",244.988888888889,169852,26,1239,2325
"03",247.1375,161713,1,751,1834
"04",248.131944444444,171532,2,1194,2300
"05",238.645833333333,162162,5,1332,2710
"06",248.85,167238,3,680,2527
"07",204.284722222222,141539,6,3539,305
"08",248.3625,152014,0,712,505
"09",250.133333333333,175871,2,735,1509
"10",219.306944444444,81171,3702,40,63
"11",247.633333333333,170216,708,560,3914
"AU01",254.433333333333,173563,26,1271,4024
"AU02",615.804166666667,414094,1192,3403,12267
"AU03",592.731944444444,413296,1427,770,3555
"AU04",470.127777777778,303599,210,2123,9800
"AU05",602.152777777778,412760,281,3520,9032
"AU06",595.152777777778,412270,14,786,7120
"AU07",565.416666666667,376874,81,3665,11313
"AU08",535.584722222222,358240,173,3192,8352
"AU09",605.911111111111,406700,190,3204,4910
"AU10",207.525,122217,15,1472,2969
"AU11",599.227777777778,413015,343,1959,8401
"AU12",605.7875,383575,3891,4605,20552
"AU13",594.973611111111,349386,665,4899,40977
"AU14",592.7875,390759,360,4614,19430
"AU15",596.4875,410418,493,2467,8112
"AU16",603.577777777778,403724,1868,4199,12740
"AU17",441.738888888889,299880,510,2258,7190
"AU18",563.770833333333,350709,482,1521,7299
"AU19",584.431944444444,403152,111,2225,5500
"AU20",602.743055555556,379095,224,3159,17613
"AU21",559.276388888889,376209,674,2148,10807
"AU22",432.088888888889,265352,30,1041,5551
"AU23",574.808333333333,405560,133,511,2436
"AU24",599.731944444444,413541,202,1941,4814
"AU25",512.558333333333,346630,542,1610,6263
"AU26",609.770833333333,411401,72,743,5592
"AU27",585.104166666667,409495,570,1268,5445
"AU28",571.626388888889,385496,2744,2536,11251
"AU29",327.561111111111,203615,1625,447,3993
"AU30",575.613888888889,387120,334,1810,9557
"AU31",596.761111111111,385417,1471,5390,10778
"AU32",589.697222222222,413668,16,757,3403
"AU33",580.927777777778,397169,38,1016,6995
"AU34",630.751388888889,423600,181,850,5884
"AU35",579.252777777778,393356,4628,712,3188
"AU36",540.240277777778,320764,1,200,3983
"AU37",587.383333333333,394936,5859,90,4254
"AU38",538.198611111111,377027,632,592,2427
"AU39",603.197222222222,355380,13,107,1209
"AU40",463.784722222222,307241,13,981,8312
"AU41",28.9666666666667,18616,0,110,222
"LP26",216.948611111111,141117,2,977,1510
"LP27",142.576388888889,101299,0,326,447
"P01",611.4125,410797,736,2590,6300
"P05",567.727777777778,393295,50,1399,7335
